2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 67.74
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=16.95, jellyfin=67.74, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | combined_popularity_score returning 52.5 (weighted average)
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity_log called with value=40926, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 19.27 (normalized log scale) raw value: 40926
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=14, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 45.16
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=19.27, jellyfin=45.16, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | combined_popularity_score returning 37.39 (weighted average)
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity_log called with value=116132, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 33.53 (normalized log scale) raw value: 116132
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=31, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 100.0
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=33.53, jellyfin=100.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | combined_popularity_score returning 80.06 (weighted average)
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity_log called with value=351801, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 48.69 (normalized log scale) raw value: 351801
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=5, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 16.13
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=48.69, jellyfin=16.13, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | combined_popularity_score returning 25.9 (weighted average)
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity_log called with value=75375, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 27.62 (normalized log scale) raw value: 75375
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=4, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 12.9
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=27.62, jellyfin=12.9, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | combined_popularity_score returning 17.32 (weighted average)
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity_log called with value=186722, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 40.02 (normalized log scale) raw value: 186722
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=2, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 6.45
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=40.02, jellyfin=6.45, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | combined_popularity_score returning 16.52 (weighted average)
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity_log called with value=522525, min_val=10000, max_val=15000000
2025-07-14 13:52:06,531 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 54.1 (normalized log scale) raw value: 522525
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity called with value=4, min_val=0, max_val=31
2025-07-14 13:52:06,531 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 12.9
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=54.1, jellyfin=12.9, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | combined_popularity_score returning 25.26 (weighted average)
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity_log called with value=161030, min_val=10000, max_val=15000000
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 38.0 (normalized log scale) raw value: 161030
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=38.0, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |  WARNING | playlist-pilot | combined_popularity_score returning 38.0 (fallback to lastfm)
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity_log called with value=81397, min_val=10000, max_val=15000000
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 28.67 (normalized log scale) raw value: 81397
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity called with value=3, min_val=0, max_val=31
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 9.68
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=28.67, jellyfin=9.68, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | combined_popularity_score returning 15.38 (weighted average)
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity_log called with value=154265, min_val=10000, max_val=15000000
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 37.41 (normalized log scale) raw value: 154265
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity called with value=2, min_val=0, max_val=31
